scenario,operation,metric,samples,mean,median,stddev,min,max
Sem criptografia,write,wall_seconds,5,0.428149,0.436960,0.024958,0.384896,0.446131
Sem criptografia,read,wall_seconds,5,0.121410,0.112423,0.024491,0.100712,0.158817
LUKS,write,wall_seconds,5,0.616892,0.564227,0.145085,0.484940,0.818407
LUKS,read,wall_seconds,5,0.173236,0.150413,0.039462,0.138460,0.229835
VeraCrypt,write,wall_seconds,5,0.754772,0.792980,0.163526,0.485700,0.889055
VeraCrypt,read,wall_seconds,5,0.166588,0.157828,0.028140,0.147022,0.215197
gocryptfs,write,wall_seconds,5,1.056215,0.991832,0.223769,0.852427,1.374281
gocryptfs,read,wall_seconds,5,0.654719,0.623436,0.101785,0.553254,0.824460
Sem criptografia,write,throughput_mb_s,5,1199.344000,1171.730000,75.010241,1147.650000,1330.230000
Sem criptografia,read,throughput_mb_s,5,4344.186000,4554.220000,793.006728,3223.850000,5083.810000
LUKS,write,throughput_mb_s,5,865.286000,907.440000,189.059306,625.610000,1055.800000
LUKS,read,throughput_mb_s,5,3070.528000,3403.950000,634.646288,2227.680000,3697.830000
VeraCrypt,write,throughput_mb_s,5,712.240000,645.670000,197.643053,575.890000,1054.150000
VeraCrypt,read,throughput_mb_s,5,3133.958000,3244.030000,449.568438,2379.210000,3482.480000
gocryptfs,write,throughput_mb_s,5,501.472000,516.220000,99.372374,372.560000,600.640000
gocryptfs,read,throughput_mb_s,5,795.706000,821.260000,110.977062,621.010000,925.430000
Sem criptografia,write,system_cpu_seconds,5,0.614000,0.630000,0.106911,0.480000,0.720000
Sem criptografia,read,system_cpu_seconds,5,0.282000,0.290000,0.112561,0.180000,0.460000
LUKS,write,system_cpu_seconds,5,1.744000,1.350000,0.659227,1.170000,2.590000
LUKS,read,system_cpu_seconds,5,0.712000,0.590000,0.238055,0.470000,1.040000
VeraCrypt,write,system_cpu_seconds,5,2.474000,2.630000,0.676631,1.370000,3.080000
VeraCrypt,read,system_cpu_seconds,5,0.794000,0.720000,0.191911,0.670000,1.130000
gocryptfs,write,system_cpu_seconds,5,3.064000,2.530000,1.902992,1.320000,5.710000
gocryptfs,read,system_cpu_seconds,5,1.608000,1.400000,0.781198,0.850000,2.920000
Sem criptografia,write,system_user_cpu_seconds,5,0.244000,0.220000,0.047223,0.210000,0.320000
Sem criptografia,read,system_user_cpu_seconds,5,0.106000,0.120000,0.046690,0.060000,0.170000
LUKS,write,system_user_cpu_seconds,5,0.538000,0.490000,0.234243,0.320000,0.830000
LUKS,read,system_user_cpu_seconds,5,0.148000,0.110000,0.058481,0.100000,0.230000
VeraCrypt,write,system_user_cpu_seconds,5,0.648000,0.610000,0.220273,0.340000,0.890000
